Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-33.138554	26.895449	-11.803057	-766.8662	-34.92979	28.172182	10.720125	-137.37552	19.473171	31.15	3999	-1.7128923	8.605257	8.151577	-778.2167	-0.17242932	14.443053	15.92936372756958
2	-32.33867	7.914707	-11.530656	-61.73512	-43.859406	12.775289	-17.675398	-64.48125	19.47202	18.425	7999	9.626969	15.662852	81.96235	-822.69885	-13.5868025	3.2508638	35.57688283920288
3	-34.137703	15.376314	2.1223502	-150.39616	-37.328735	16.327297	-14.844718	-84.53237	22.185236	27.9	11999	45.09111	47.065125	198.31374	-855.186	-52.163887	14.725988	56.32250380516052
4	-34.689625	41.22102	34.923397	-719.5781	-28.828348	23.011333	8.660362	-60.8735	30.522902	32.275	15999	48.79475	55.38563	192.25125	-861.43146	-54.02448	27.861	77.28000688552856
5	-34.881504	31.59946	50.60996	-187.25589	-39.52506	27.691618	8.926349	-86.58706	34.196163	32.7	19999	39.15452	44.529026	161.40921	-848.9556	-43.65638	29.669182	98.1788547039032
6	-42.85131	34.007267	37.734398	-149.90001	-43.421104	31.652422	15.110965	-95.79197	36.740826	37.475	23999	35.74543	37.45816	151.36336	-832.372	-39.73926	28.310171	119.1837968826294
7	-46.338097	52.337936	41.328926	-705.9438	-48.384106	33.043858	11.966467	-111.47348	38.035713	45.375	27999	35.23952	34.49032	157.80452	-849.6376	-39.03625	28.100523	140.49541115760803
8	-56.583717	42.958218	15.55896	-609.2935	-71.54024	50.764503	-4.90738	-204.14784	41.342857	45.95	31999	34.845215	29.66662	143.86377	-863.46344	-38.529835	31.910856	161.98992490768433
9	-61.83692	37.105064	7.1818647	-201.72134	-70.52199	34.16373	-12.778541	-152.96513	46.094555	46.25	35999	34.28465	26.92581	121.395874	-943.8053	-37.776203	30.44279	183.55942010879517
10	-61.79203	34.405857	11.227219	-230.99168	-59.938683	32.446255	-3.6638799	-139.0636	38.61836	38.05	39999	33.38303	25.74133	106.73412	-880.10114	-36.76444	33.471718	204.93776392936707
