Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-32.253113	8.333109	-11.689196	-63.885162	-23.571125	18.385279	23.177635	-56.255016	19.75	23.35	3999	-1.5305372	1.687102	9.043237	-12.109057	-0.30257064	0.7679561	15.414939403533936
2	-33.453625	21.644781	-12.804066	-609.47687	-36.435097	18.604345	0.55939686	-93.6889	19.54945	25.15	7999	11.144148	17.939177	88.638374	-593.01654	-15.105098	5.682458	34.50032448768616
3	-30.58858	13.235927	31.325584	-88.44694	-25.855011	25.757965	27.212479	-97.25564	23.26385	36.625	11999	37.876976	31.897682	157.52383	-686.27637	-43.88024	8.108849	54.99898290634155
4	-28.721388	24.71123	28.727177	-251.52655	-30.448437	17.298841	27.136353	-64.65234	33.341667	41.95	15999	39.381584	36.094387	147.03854	-682.72424	-43.799538	13.780838	75.71411776542664
5	-36.391396	40.105873	50.333107	-669.8225	-34.097095	19.392738	13.693701	-90.616295	39.17647	28.55	19999	32.47212	31.381092	149.14618	-716.43524	-36.29516	16.45726	96.5221917629242
6	-43.463074	27.661152	23.881516	-163.57419	-54.627846	101.23274	41.473064	-501.10544	33.429768	40.3	23999	31.86957	29.708023	172.39015	-682.4615	-35.48044	20.86664	117.91737985610962
7	-48.476437	27.249289	14.895255	-208.76482	-62.04657	27.195766	1.8597469	-149.64874	40.0798	39.775	27999	34.649635	30.974699	172.12215	-665.3024	-38.476315	24.304754	138.69762063026428
8	-59.692364	31.182377	10.254557	-305.46597	-47.053764	29.92955	26.289806	-114.136734	41.09819	40.925	31999	40.334183	33.807255	163.98189	-681.0165	-44.388954	28.24991	159.85699224472046
9	-64.42939	39.084404	3.375598	-645.7286	-60.239136	22.376604	-15.200748	-111.17286	39.27873	44.925	35999	43.76189	34.339165	150.96751	-654.6202	-47.73949	34.36693	180.7820816040039
10	-68.19123	31.190895	10.028127	-220.54292	-71.78401	26.423767	-33.3392	-146.81435	43.994522	31.875	39999	42.66791	33.74451	141.39883	-639.51404	-46.34729	35.87551	201.5941460132599
11	-71.90975	31.380774	5.091461	-226.5303	-65.36227	32.583515	-6.326562	-145.58664	43.89835	37.725	43999	41.340664	32.314255	139.37064	-591.3021	-44.878582	35.709225	222.36930012702942
12	-78.07363	50.419018	-4.9154325	-660.0082	-84.18237	51.046795	-22.898977	-355.2553	44.72905	51.875	47999	40.412502	32.256107	135.1715	-560.93097	-43.952843	37.653595	244.0135681629181
