Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-33.274666	8.114218	-10.400842	-54.806126	18.753555	-0.022018079	0.03334458	0.10952073	-0.1750018	4000	-1.8626451e-08	377.24918	-0.058063596	-57.03366	0.91894335	0.021670828	0.16625	79.0	2.15993070602417
1	-31.738426	6.885372	-14.064804	-50.336563	18.624413	-1.7546201	0.7333402	-0.25195265	-4.327799	8000	-4.656613e-08	280.12488	-0.058128387	-199.1707	0.9067176	0.01692127	0.18175	79.0	4.267333507537842
2	-29.610743	7.083433	-15.010212	-49.471077	18.824644	-12.6591015	6.6035147	-0.5400684	-35.150513	12000	-5.5879354e-09	70.610825	-0.057549596	-28.137674	0.89242285	0.018505614	0.1775	79.0	6.4030420780181885
3	-27.69794	7.2535925	-9.71769	-47.746223	19.158653	-13.898693	7.0101256	-0.729539	-32.246716	16000	-1.8626451e-08	41.135746	-0.06666979	-9.831579	0.87300867	0.027901797	0.208	79.0	8.518989562988281
4	-26.28528	6.912705	-11.852129	-54.03043	19.101942	-13.318203	6.8030415	-0.6606225	-28.804634	20000	-3.7252903e-09	31.863674	-0.07699208	-3.789277	0.8563187	0.043263346	0.2535	79.0	10.608216047286987
5	-23.105804	6.147668	-7.675591	-47.703915	19.331707	-13.102984	6.2629566	-0.6877424	-26.51204	24000	-2.514571e-08	25.69851	-0.07620425	-4.988267	0.83822405	0.033437327	0.241	79.0	12.749634265899658
6	-20.611658	7.090311	-6.0930443	-42.975193	19.51724	-11.411702	5.366222	-0.6873739	-24.285164	28000	3.259629e-09	24.978085	-0.08145182	-2.797318	0.8178082	0.03560551	0.27725	79.0	14.844130277633667
7	-19.054626	6.328321	-5.513527	-44.42389	19.658417	-10.564233	4.8474817	-1.1305132	-21.870382	32000	-3.7252903e-09	20.98353	-0.076514	-1.9395118	0.79431635	0.03858231	0.2415	79.0	16.939708948135376
8	-17.33069	17.890339	-3.7516887	-252.65787	20.187817	-9.721635	4.553842	-0.7891925	-21.957024	36000	-1.8626451e-09	85.50353	-0.036026828	-4.0158987	0.7793991	0.024424296	0.162	79.0	19.00206685066223
9	-15.181969	5.6133776	-1.251474	-33.91038	20.158163	-8.927785	4.244117	-1.3970637	-23.508131	40000	-1.2572855e-08	18.056553	-0.08133961	-3.0560436	0.76773113	0.04155074	0.268	79.0	21.036475896835327
