Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-32.956684	8.334009	-13.613062	-58.64145	-13.901215	9.833276	11.49187	-29.129177	19.678175	22.475	3999	-0.7528872	2.3212616	13.023372	-12.039752	-1.3248389	0.97294986	16.013189792633057
2	-33.066563	11.27661	-11.026138	-246.28967	-53.73638	21.008133	-23.338997	-109.55607	19.53602	23.575	7999	21.62181	23.452549	145.9469	-52.713165	-27.977379	7.628412	36.201664686203
3	-40.322407	30.620869	12.667485	-513.1827	-47.136356	12.715014	-15.525022	-76.59347	23.840668	27.975	11999	94.83223	67.07173	302.25366	-116.31891	-107.30081	47.121284	56.951895236968994
4	-57.059464	279.89673	3.9815116	-6303.0366	-40.674873	22.085213	-4.942021	-101.59914	32.102768	42.275	15999	100.68125	75.234634	379.88232	-192.29842	-109.92374	94.875175	78.93585109710693
5	-52.844822	27.341045	19.561848	-182.61789	-44.345787	25.014713	5.949288	-112.276276	32.278225	44.675	19999	90.37999	76.75221	438.50616	-194.47829	-99.09698	112.33752	100.4049482345581
6	-60.81135	29.999964	6.830585	-281.3048	-71.834236	33.685135	-26.146868	-169.83444	43.11051	42.625	23999	95.0629	92.88223	525.3372	-283.4053	-104.268456	136.83293	121.63270831108093
7	-76.42515	47.759056	-6.5983396	-827.26263	-87.84294	23.841024	-43.79258	-151.80948	36.20136	31.35	27999	104.2385	107.19683	909.0157	-352.70743	-112.78903	171.27661	142.36504244804382
8	-84.81253	46.908676	-14.048974	-884.4691	-74.69076	24.40152	-9.354055	-119.41695	34.663773	41.375	31999	102.02572	105.36427	1392.5764	-469.48523	-110.51537	205.13977	162.87594652175903
9	-81.21874	36.32912	-11.281946	-524.04364	-125.93154	130.8069	-50.731228	-812.65204	41.023018	40.875	35999	104.46964	105.989426	2095.0142	-437.52216	-112.80637	217.0639	183.95347905158997
10	-90.444954	37.124146	-15.521554	-251.84988	-100.8957	53.535397	-16.60565	-240.56248	43.224934	44.7	39999	99.83106	108.91861	2779.4043	-405.89117	-107.615425	227.10168	204.76319313049316
11	-98.02955	39.473827	-17.229073	-270.5717	-121.78322	84.02584	-30.16139	-442.8062	35.337006	32.6	43999	100.7257	125.31682	3843.8906	-369.8505	-108.95658	274.5083	225.57425618171692
12	-81.81992	35.077164	-19.721539	-282.19104	-102.834	38.18251	-49.62901	-226.98935	41.170105	54.15	47999	100.10508	152.48634	4969.889	-283.39862	-108.183334	328.4775	246.85089302062988
13	-95.35646	35.516182	-27.87884	-372.56628	-97.2194	77.781296	-48.981617	-556.2015	37.27506	41.85	51999	106.17048	185.91904	5713.3853	-345.412	-115.010475	414.9787	267.5314037799835
14	-103.10913	49.808475	-23.080412	-467.09836	-105.581406	32.9235	-43.49684	-210.35858	45.235126	49.225	55999	107.55163	222.05199	6572.128	-337.9063	-116.21978	530.32214	288.10802602767944
15	-106.32354	39.579655	-24.226374	-311.6955	-120.09125	111.50509	-29.060646	-604.3207	48.400604	55.275	59999	111.19158	266.75668	8014.4414	-335.33795	-120.01048	660.0458	309.1015076637268
16	-113.63325	55.301838	-31.798876	-462.59653	-108.59865	52.015423	-27.564602	-266.33997	47.07647	47.025	63999	120.00541	323.43845	9815.356	-317.22827	-130.67058	916.6284	329.9787254333496
17	-113.645355	54.70766	-27.515759	-484.06473	-104.83872	39.243217	-45.01457	-219.7985	47.565475	43.075	67999	123.02987	375.16272	11815.622	-216.82054	-132.50531	1207.2363	350.46919417381287
18	-108.995415	46.369064	-29.18758	-383.30942	-93.22282	28.817112	-48.71334	-172.44919	42.825737	47.65	71999	128.2457	433.38855	13942.408	-330.7374	-138.58305	1692.793	371.98717761039734
19	-95.864174	51.066338	-9.399278	-697.83246	-87.10987	26.109299	-42.383606	-151.81496	44.5961	42.75	75999	137.9677	492.15265	15931.987	-433.40692	-149.05351	2116.251	393.1287512779236
