Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
31	-126.15422	241.03015	-32.31139	-4814.4404	1466.4812	62.226433	1554.6571	1312.7197	40.38791	1000.0	123999	82.95786	135.3875	1900.6473	-302.0436	-88.46113	340.5669	1259.9853265285492
32	-113.37092	136.92976	-25.24359	-2390.8188	1460.8005	102.19213	1712.2001	1289.0897	44.572624	1000.0	127999	76.31816	127.22184	1861.6096	-295.75485	-81.70992	304.14764	1311.682020187378
33	-134.08614	300.537	-37.924946	-5048.7734	1421.473	80.03642	1589.5061	1275.0411	44.427776	1000.0	131999	72.08194	123.09663	1835.0494	-298.03543	-77.26643	289.34857	1362.5605251789093
34	-130.64632	222.16484	-43.505554	-4199.8066	1466.2844	77.75531	1624.4846	1288.3549	45.444443	1000.0	135999	66.37169	118.22453	1698.5256	-294.63303	-71.12466	263.43817	1413.6658136844635
35	-131.65652	283.75397	-40.254887	-4749.0566	1445.5701	66.249626	1613.9584	1308.4438	40.68528	1000.0	139999	60.62258	114.47715	1605.1263	-325.60565	-65.04926	241.22617	1464.5378453731537
36	-129.87303	196.80426	-44.577435	-4006.3025	1445.4695	63.244347	1597.3455	1376.0479	38.652912	1000.0	143999	54.563107	110.04017	1579.1737	-337.67838	-58.942787	216.26784	1516.3732738494873
37	-98.89884	112.77806	1924.8909	-305.95825	1429.2795	72.687584	1649.0751	1287.2346	41.579895	1000.0	147999	54.55879	113.30416	1955.8558	-417.43405	-59.409504	239.85785	1569.778401851654
38	-147.33124	361.47208	-34.994003	-5822.959	1446.4407	76.63822	1636.5833	1292.5458	49.184616	1000.0	151999	56.720783	115.51692	1916.132	-439.75952	-61.499786	228.0161	1621.6332428455353
39	-120.29123	196.96175	-34.594166	-3886.1	1431.3708	55.8736	1527.3988	1286.4467	40.81074	1000.0	155999	54.08405	114.25049	1780.1017	-435.37665	-58.615475	223.63254	1672.041535615921
40	-104.77429	288.0296	2182.597	-5243.518	1436.5167	60.133564	1523.524	1290.6514	40.788265	1000.0	159999	52.50161	115.66962	1786.2129	-410.5869	-56.993713	219.62862	1723.7732186317444
41	-107.9497	253.79532	-29.147467	-3783.55	1423.3599	79.78437	1588.1702	1280.6465	38.584133	1000.0	163999	51.56577	118.784996	1915.5155	-438.32983	-55.96351	227.4972	1774.8264248371124
42	-110.05668	294.1986	1189.9933	-5702.194	1458.5885	72.75486	1601.0194	1308.8701	41.21851	1000.0	167999	55.931446	129.26485	2010.6582	-461.23312	-60.757595	275.82172	1826.1861283779144
43	-140.5214	437.98892	-20.434156	-6712.851	1442.0956	70.10291	1611.8036	1281.0034	46.380814	1000.0	171999	60.072624	130.85999	1680.8478	-421.4964	-64.935616	265.2838	1877.5681891441345
44	-98.06957	109.74821	1886.9233	-253.9609	1443.3857	69.403206	1596.2666	1293.2396	43.37027	1000.0	175999	65.82762	133.61314	1605.7921	-425.00238	-70.98484	285.02335	1928.739531993866
45	-114.24545	206.50308	52.70991	-3923.9248	1446.806	76.31503	1592.1383	1275.1235	45.050705	1000.0	179999	69.08533	135.64566	1656.5402	-376.4463	-74.23597	289.94043	1980.2012417316437
46	-120.79838	111.11038	-12.413851	-2117.8179	1450.1014	72.95487	1613.7108	1278.7487	40.344303	1000.0	183999	65.5758	132.31578	1654.8456	-326.66003	-70.47009	268.69473	2031.264291524887
