Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-32.06655	7.801501	-9.889875	-70.74862	-13.287885	19.462395	29.226435	-49.245636	19.547794	28.825	3999	-1.5428073	2.0689259	10.747276	-14.386515	-0.38148198	0.772356	15.92147183418274
2	-32.256866	8.0410795	-10.399448	-68.49172	-31.882833	17.816162	12.430407	-76.757095	19.568987	23.1	7999	16.593624	17.280659	95.57093	-55.629143	-21.747711	3.8467672	35.00982618331909
3	-32.99847	17.301634	20.708473	-297.71408	-37.911293	34.90124	33.315365	-126.15701	24.196672	36.725	11999	55.50715	35.923702	174.2066	-64.77268	-63.08365	13.665527	55.10130572319031
4	-35.064484	28.593176	37.685913	-492.60748	-26.424067	23.155828	33.21278	-77.05258	31.238747	37.225	15999	56.18115	39.771008	166.7911	-52.2625	-61.858486	22.476248	75.86682176589966
5	-47.54488	30.81098	27.535484	-321.37863	-55.817406	25.80948	11.200484	-103.384	35.365852	36.725	19999	49.36805	36.951828	144.48073	-43.53894	-54.246674	25.951557	96.59946513175964
6	-62.67571	34.514576	25.344852	-517.17	-68.449196	34.454647	-28.043978	-203.1893	32.559837	39.875	23999	44.60767	36.12282	175.95262	-71.399796	-48.902164	33.183594	117.63657999038696
7	-60.140877	27.481358	-6.569362	-267.6236	-81.391785	90.41758	-15.458816	-596.22266	34.002132	48.425	27999	45.19409	38.773434	200.2434	-61.366714	-49.947567	41.743813	138.5526728630066
8	-71.27448	43.118603	4.777297	-625.3185	-85.076225	30.135004	-19.725672	-162.57271	41.75	49.425	31999	49.40463	41.336643	229.2439	-81.03836	-54.135815	46.15115	159.25469136238098
9	-76.62118	30.114428	-4.0714083	-192.71541	-76.67879	76.2326	326.74765	-174.74373	37.169373	42.175	35999	51.05268	42.349453	241.18863	-91.84555	-55.63672	53.66686	179.68238401412964
10	-77.356674	41.033512	0.27428335	-566.8206	-84.23861	34.919777	-19.226938	-180.63235	35.24009	31.15	39999	48.99131	43.07694	256.7608	-141.45567	-53.448177	56.42545	200.610431432724
11	-79.803406	36.405518	-3.7603943	-254.68144	-78.90324	32.515167	-12.957189	-143.83499	41.462337	44.8	43999	49.50836	46.152214	243.25981	-181.15375	-53.94435	56.916256	221.53559851646423
12	-78.295845	43.3976	35.904705	-581.83154	-73.98845	40.486572	-22.10863	-241.72026	39.83871	29.6	47999	43.34689	41.636772	208.59213	-213.83524	-47.08801	49.411827	241.798198223114
13	-83.88749	48.63527	-5.172227	-764.92957	-78.08	25.251873	-38.396652	-127.92722	38.400967	41.075	51999	35.3466	34.3088	178.28482	-138.48111	-38.744335	47.402683	262.93143582344055
14	-84.74759	53.889294	-14.712849	-657.32385	-97.07208	34.70332	-35.651188	-233.9231	44.458332	49.55	55999	28.195408	28.784073	149.10092	-194.73247	-31.234566	40.87192	283.80401706695557
15	-82.094	51.258865	-17.99882	-806.99817	-82.8773	37.844425	-33.14796	-207.30527	44.64722	56.3	59999	23.058033	25.060566	126.21591	-213.26965	-25.79846	38.29356	304.6555895805359
16	-75.20161	33.066395	-15.536439	-442.52713	-87.766685	32.71197	-19.449308	-154.43086	39.889725	47.825	63999	17.012035	20.746521	94.69063	-462.64786	-19.41213	31.983612	325.5836396217346
17	-79.65942	33.226143	-20.300783	-287.46988	-79.283	25.00352	-19.959122	-138.30284	43.13405	42.425	67999	11.850742	16.858938	76.16151	-282.68744	-14.025821	27.933783	346.27849650382996
18	-81.35196	36.840244	-16.56326	-431.53656	-94.0933	28.99791	-26.420794	-172.16971	47.02655	45.425	71999	8.173767	14.596661	66.1851	-483.08942	-10.1953	26.80401	367.14930391311646
19	-84.424225	45.296898	-21.121052	-649.91797	-86.33124	25.622988	-48.737595	-159.1971	41.409325	43.725	75999	6.667905	15.170054	72.28898	-459.37222	-8.7110815	26.312965	387.8507385253906
20	-78.92259	35.72103	-3.0147958	-424.98962	-81.01445	32.098213	-18.056177	-214.13011	42.807487	42.275	79999	4.2550535	15.850061	69.273315	-500.41345	-6.0729766	22.860023	408.7553369998932
21	-74.10616	36.693657	-12.270369	-602.1321	-69.85921	22.836327	-26.242058	-134.94145	39.970074	33.8	83999	0.9164061	13.696459	67.17777	-585.7003	-2.6021578	22.923601	429.2508087158203
22	-65.724335	37.725647	308.13074	-222.28935	-85.59925	78.173386	-20.664455	-504.7591	39.71144	41.625	87999	-0.81734085	11.685531	55.1454	-674.0201	-0.81231606	18.247395	449.99095463752747
23	-70.17368	55.021046	-3.2230864	-806.58484	-61.593468	25.013079	-12.301264	-111.084206	39.380836	40.65	91999	-1.5934297	10.574607	48.553204	-612.89685	-0.0071006166	19.683905	470.84440541267395
24	-59.796963	43.859035	2.4967136	-692.1492	-48.91092	29.899424	-15.879067	-129.81978	39.66337	43.425	95999	-2.4916022	9.897855	43.676083	-533.34326	0.9291971	19.436062	491.3095233440399
25	-56.90679	54.196045	6.3084464	-776.1393	-60.260414	30.60211	-2.9036112	-143.22656	39.550617	40.675	99999	-2.2041988	10.261584	40.628014	-770.74615	0.5485629	21.712645	511.7556962966919
26	-62.41463	28.184244	1.4246188	-142.89767	-60.270653	25.18512	-14.793289	-120.845955	45.751427	56.725	103999	-1.2256875	10.924479	44.41928	-671.00037	-0.4704112	22.202929	532.6973674297333
27	-61.49527	26.85729	-4.833745	-178.49332	-60.594078	22.371162	-19.367188	-112.370125	40.1203	35.2	107999	0.28889543	11.343452	47.80825	-591.3634	-2.059465	24.893023	553.4629492759705
28	-72.37459	154.22295	3.4509695	-2998.2627	-70.25016	28.36629	-28.653198	-151.70897	40.660713	50.85	111999	0.7938126	11.79137	52.193935	-751.2414	-2.5132167	22.95734	574.1657993793488
29	-60.475674	46.92002	1.0249816	-652.70544	-56.880394	22.07742	-10.71316	-108.13898	42.959892	46.15	115999	0.6442814	12.799107	50.311123	-753.37244	-2.3565912	22.30266	595.020361661911
30	-56.141266	27.140606	-1.3003061	-179.93668	-60.270416	21.574026	-21.377094	-108.885475	43.315216	42.675	119999	0.9062496	13.63161	48.267063	-961.273	-2.6756563	21.436333	615.6396505832672
31	-58.18498	38.115765	8.681588	-488.3774	-60.787495	27.214231	-7.8424892	-125.031425	44.065933	41.725	123999	1.3842068	13.76535	51.563217	-959.46094	-3.176386	23.311443	636.2319128513336
32	-62.248535	224.54695	13.545763	-4379.0405	-56.541473	35.776955	-6.266991	-148.79636	42.374004	41.325	127999	2.4473722	13.209429	55.007553	-811.645	-4.2417746	24.320805	657.0983119010925
33	-51.046886	29.95516	17.874622	-142.75024	-50.46825	29.387146	-2.9121647	-137.68143	47.16519	45.575	131999	2.9140868	14.212042	48.4756	-807.8811	-4.7138395	24.891144	677.4936549663544
34	-51.87227	36.850643	0.8105293	-484.89917	-50.80469	23.566565	-5.8133197	-99.18413	47.86527	46.3	135999	3.4353757	15.007634	51.370045	-730.0741	-5.2489758	26.327488	698.5131781101227
