Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-32.188515	7.472683	-9.639298	-67.50846	-23.5817	12.088981	7.065883	-63.39265	19.470085	33.05	3999	0.42459422	3.8761268	29.884209	-17.251251	-3.0471275	0.702661	17.86274218559265
2	-32.54423	7.829942	-12.489019	-60.223335	-102.086235	116.0876	-53.931885	-822.14813	19.736128	33.05	7999	60.15963	51.888813	262.63968	-62.139046	-74.97109	20.432997	39.960121631622314
3	-50.020782	29.05132	-12.924327	-248.99445	-58.910168	23.575384	-24.675812	-109.44271	21.863014	28.125	11999	326.9121	174.36043	984.06696	-228.27542	-369.95578	323.59906	63.568546533584595
4	-66.992226	49.057114	-7.5098085	-741.3873	-78.12079	47.301266	-12.547055	-213.74966	32.316532	36.05	15999	422.0506	241.81203	1063.2603	-200.75018	-461.59348	704.853	86.19491767883301
5	-95.5561	41.521397	-23.856071	-448.59042	-89.50928	22.309965	-55.263687	-149.29141	36.372147	38.025	19999	431.5063	245.19902	1144.4366	-151.67197	-468.87738	926.57385	109.29941725730896
6	-97.24812	34.90076	-19.007381	-278.7954	-101.461945	45.157455	-28.358252	-236.4224	35.752785	29.8	23999	473.29227	285.736	1310.2435	-160.64134	-512.54694	1203.795	131.52512788772583
7	-99.29795	45.55476	-21.168728	-338.70145	-111.14681	44.150238	-37.59069	-254.44077	35.84305	35.675	27999	527.0789	333.50464	1435.2897	-193.42078	-567.0834	1721.0712	154.61314415931702
8	-102.43238	41.903885	-18.575018	-432.67264	-93.629234	30.836544	-50.249706	-199.70456	35.004387	37.4	31999	546.0036	352.53583	1686.7793	-231.65605	-584.7728	2231.7163	176.7845573425293
9	-110.20239	51.395725	-31.924475	-760.36536	-107.32674	42.191757	-46.338078	-225.18585	38.816425	38.625	35999	570.4793	385.979	1863.546	-200.42302	-610.52423	2772.1016	198.88160681724548
10	-99.52547	41.72119	-31.486837	-563.74005	-124.40094	48.660282	-58.386333	-279.16174	37.01392	39.525	39999	600.37366	426.9905	2104.6743	-204.21767	-641.0184	3194.0076	221.88212156295776
11	-110.12535	57.413555	-27.866531	-720.33777	-121.000404	42.453194	-26.277428	-285.4781	40.190475	36.825	43999	628.0098	467.24924	2225.0498	-409.6099	-669.00806	3760.7825	245.2480022907257
12	-115.86278	43.814373	-39.97639	-447.53424	-126.13607	35.54548	-61.214275	-202.50734	35.590202	44.55	47999	637.11444	499.86246	2331.2349	-300.03094	-677.2505	4402.6074	268.1635217666626
13	-111.09824	47.260517	-32.580215	-595.23413	-115.530655	38.669323	-60.772297	-236.92503	35.986458	48.075	51999	624.199	491.93832	2322.4626	-256.1531	-663.8805	4755.6724	291.1849925518036
14	-114.11901	41.925213	-41.752422	-300.09055	-128.13754	31.869892	-70.35815	-190.4156	39.622223	57.475	55999	612.4777	489.9683	2485.3904	-400.22568	-650.807	4605.3013	314.57666873931885
15	-111.44413	41.001186	-40.518944	-306.74854	-130.39685	41.971085	-67.07687	-226.99985	38.643375	42.65	59999	603.6275	501.37744	2415.6938	-359.9477	-640.66266	4655.994	337.4933338165283
16	-113.89659	49.02631	-34.307617	-467.46307	-104.790405	32.126694	-46.347187	-170.13007	44.77809	39.65	63999	575.29126	496.30435	2421.6692	-304.6804	-609.12494	4549.35	360.8857443332672
17	-115.697754	51.363937	-26.753323	-658.16064	-138.80048	40.424168	-42.733227	-234.21211	38.900726	46.55	67999	534.4581	479.40628	3239.1858	-431.89563	-566.10297	4154.1157	384.2249767780304
18	-110.60501	45.488907	-36.32412	-539.2519	-98.87013	28.563623	-43.008442	-164.20612	41.212437	50.225	71999	490.54608	458.19626	2623.4634	-437.78397	-519.5091	3846.7932	406.7595341205597
19	-117.25779	42.284348	-41.491062	-354.78986	-126.81819	49.158123	-46.823322	-237.06862	48.35241	49.85	75999	445.69656	436.3346	2122.026	-396.2594	-470.81952	3364.0352	430.1829082965851
20	-126.204796	46.27529	-51.67015	-551.4693	-142.7969	100.739975	-73.738785	-739.62946	50.034374	50.125	79999	395.3029	403.48563	1804.4657	-410.9564	-417.53726	2891.1995	452.8887665271759
21	-127.43513	61.189556	-48.62422	-824.02264	-145.87015	43.86759	-79.736404	-245.21645	46.923306	51.425	83999	346.6007	364.8497	1646.5308	-750.41943	-366.26538	2333.3926	475.575421333313
22	-123.36532	42.04666	-37.219734	-386.6986	-121.783676	36.75265	-61.65472	-210.4514	43.701088	29.125	87999	297.3741	329.08334	1497.3304	-420.02335	-313.77368	1819.281	497.7999267578125
23	-126.44252	53.207077	-41.057835	-713.0671	-136.68326	35.446915	-61.007954	-211.79556	40.0325	44.475	91999	246.7228	288.91003	1466.5619	-517.5114	-261.0799	1506.2009	520.5950512886047
24	-117.07576	39.41816	-40.732742	-273.13135	-110.02391	45.331005	-31.924269	-221.95567	40.54453	41.4	95999	200.66272	249.22002	1279.1207	-569.7147	-212.25838	1167.7152	544.7273428440094
25	-116.05412	41.27632	-28.714182	-260.18753	-135.28497	36.33204	-62.52386	-238.68788	50.246876	48.25	99999	161.39828	216.59895	992.81714	-615.95404	-171.55606	853.342	569.3628413677216
26	-129.18933	53.5334	-53.227577	-780.19507	-122.84007	32.26673	-63.047047	-204.76299	54.831615	58.9	103999	133.4712	195.89998	888.40735	-644.56464	-142.42094	683.71063	593.0267689228058
27	-111.61362	42.013123	-27.051008	-341.40106	-118.93302	46.385437	-25.613281	-242.35777	47.474777	43.8	107999	109.24977	176.7873	816.623	-647.7044	-117.10767	510.07712	617.1466267108917
28	-106.366974	42.077827	-23.806335	-255.01038	-138.13834	67.903755	-34.64819	-376.87662	45.47592	51.8	111999	86.72235	155.40712	714.49677	-540.15265	-93.468796	392.23926	639.9927995204926
29	-112.69495	62.024464	-24.606106	-835.91077	-104.35026	36.987972	-56.4168	-241.3522	43.005375	40.85	115999	69.15981	135.79498	598.8287	-823.77185	-75.052284	302.1915	662.50821185112
30	-106.666084	49.025692	-3.1133938	-378.1306	-126.40713	50.977413	-30.995573	-240.52359	45.372158	46.55	119999	54.194805	119.01072	514.56586	-768.9825	-59.297153	236.95091	685.8514399528503
31	-94.59728	56.200302	-16.06288	-737.53436	-98.32146	41.650944	-23.701107	-213.31828	43.547684	39.8	123999	41.3683	101.26961	425.9564	-853.5977	-45.838955	177.36624	708.1532185077667
