Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
31	-62.088726	65.18913	16.770132	-756.78033	-69.3527	39.146194	1.9551737	-187.463	48.576218	43.175	123999	6.3014674	14.377932	76.9668	-686.0134	-8.036093	23.577066	648.7567582130432
32	-60.600723	42.08668	-0.14991803	-327.0791	-43.08385	24.234554	4.3001013	-79.65717	43.223118	47.4	127999	5.101734	12.897609	71.44457	-670.45337	-6.7671127	23.348417	669.9579331874847
33	-58.414745	50.047913	9.80311	-657.4683	-53.181885	31.012312	0.8945215	-116.90455	43.553135	51.0	131999	3.834242	12.5464525	64.82813	-124.77895	-5.3917356	24.327469	691.6476790904999
34	-51.42278	34.05133	8.126428	-163.69353	-49.736656	23.604181	-8.3240385	-110.91158	44.74581	45.175	135999	3.167678	12.486244	60.51375	-249.92064	-4.741744	22.445574	713.1264762878418
35	-51.267025	38.54053	7.4948997	-621.23834	-52.76939	25.61794	-9.054541	-107.66171	41.086956	45.0	139999	3.53953	12.234801	59.49125	-684.95245	-5.1712213	23.56698	733.8629493713379
36	-41.959045	24.84399	17.30526	-148.2779	-42.834003	20.326172	-2.3510816	-79.28935	44.487396	42.95	143999	4.072654	12.824037	56.95538	-833.88007	-5.736752	22.769754	754.8657944202423
37	-44.602493	42.807423	8.022625	-566.79767	-47.206154	25.152887	-10.578605	-99.356735	47.70238	47.425	147999	5.198149	13.122483	51.43373	-739.59937	-6.923966	24.85932	776.1025912761688
38	-45.20987	58.919353	16.533394	-676.3246	-41.605827	24.631876	-10.693866	-116.684525	50.215626	43.0	151999	6.286555	13.663969	53.18415	-853.1883	-8.069297	25.378109	797.3058009147644
39	-47.411194	29.29052	14.909928	-150.27849	-45.604675	39.404507	17.550592	-170.81282	46.72059	54.425	155999	7.2309036	13.730627	57.607536	-447.56195	-9.051295	27.022394	819.2686998844147
40	-44.53359	47.04101	40.55296	-544.5973	-47.02547	26.520828	5.18892	-114.70564	48.174175	48.05	159999	7.118079	13.855174	57.302002	-589.8871	-8.881119	25.498453	840.551456451416
41	-50.04998	71.495224	24.677946	-806.6884	-52.068993	22.903147	-5.354717	-109.00758	48.653496	51.525	163999	6.941805	13.121223	52.23677	-682.15845	-8.690081	25.365013	861.7152404785156
42	-46.85962	37.405983	18.595419	-370.6836	-44.891663	25.013685	-1.6541958	-99.00251	51.30225	52.45	167999	6.55436	12.514448	51.011223	-739.38617	-8.249244	28.379385	882.7637040615082
43	-45.594883	33.749702	13.317616	-345.50452	-54.646313	35.120888	-1.9084768	-203.67935	49.386997	48.1	171999	6.28566	12.41004	49.4571	-804.0676	-7.9631953	25.8069	904.0789468288422
44	-45.460976	51.6691	24.137804	-739.8651	-43.51734	20.379803	-10.769204	-84.90502	46.333332	47.85	175999	6.125967	12.2851095	49.000214	-685.6902	-7.827975	27.460907	925.058552980423
45	-45.079987	39.69331	8.826358	-588.30725	-46.79132	71.60521	5.055444	-476.79968	45.146893	43.225	179999	6.20925	12.185863	50.58959	-923.56915	-7.8776574	27.474419	945.6175456047058
46	-34.98907	22.416895	31.148563	-108.73958	-40.95582	48.913956	10.7353	-283.7375	46.676384	47.3	183999	6.1654873	12.321188	50.938168	-434.33792	-7.8037457	23.79203	967.267168045044
47	-35.72706	26.1739	23.430624	-136.40428	-36.40046	23.321457	16.142117	-86.71868	48.90184	46.175	187999	6.072965	12.38496	50.494503	-654.3847	-7.7038593	24.879618	988.4850859642029
48	-32.76031	37.781734	37.229286	-449.83676	-40.098198	22.68497	-8.675473	-103.94868	48.017963	53.65	191999	6.501325	12.637753	48.929996	-458.0535	-8.1647415	25.991354	1010.1375186443329
49	-35.290974	29.209969	33.713898	-247.37909	-32.271107	19.470123	1.7716109	-96.54496	50.86262	49.55	195999	6.708915	12.658899	48.53116	-669.9051	-8.334633	24.491165	1031.5554521083832
50	-35.693405	23.650877	21.45003	-137.2344	-41.730385	22.674225	-13.961571	-109.61673	52.116505	55.95	199999	7.3164277	12.612196	49.724953	-435.07407	-8.989906	24.720598	1052.9538407325745
51	-37.229473	30.784578	23.570646	-360.79562	-33.56416	21.62983	-2.5520737	-85.71997	48.34139	44.775	203999	7.6060476	12.782541	50.15338	-1108.8599	-9.248925	24.470629	1074.0235288143158
52	-36.73655	29.58109	11.43483	-277.71747	-37.17878	15.802831	-6.223413	-77.87605	49.117283	36.625	207999	7.165753	12.783001	49.147354	-602.5172	-8.738826	21.715584	1094.937476158142
53	-35.224297	35.861946	13.669167	-523.01575	-36.300407	16.79137	0.58710134	-68.16976	49.103657	52.35	211999	6.919818	12.54237	48.903713	-714.25653	-8.513332	21.781965	1115.998342514038
54	-32.682396	24.31761	10.944038	-117.52217	-23.199697	25.778471	19.069069	-99.82536	50.587303	52.8	215999	6.6046185	11.933192	44.570457	-725.53894	-8.141148	21.632961	1137.4423863887787
55	-31.702143	22.559639	23.885431	-93.15457	-34.797997	27.276527	23.35557	-94.20145	51.346153	51.4	219999	6.27271	11.661454	46.403946	-1000.7064	-7.781522	19.899849	1159.110756635666
56	-27.825893	24.85107	22.371082	-122.85847	-37.042583	59.960236	14.2303505	-385.7834	47.2997	54.025	223999	6.0231023	11.542722	46.607258	-580.17126	-7.521209	20.408802	1180.0521702766418
57	-31.390118	41.209515	27.034668	-591.6944	-39.116497	83.00311	1.6067035	-546.0549	50.374214	54.825	227999	6.135566	11.69876	46.391647	-609.9473	-7.6690636	23.215004	1201.2993295192719
58	-30.381622	48.103073	38.26657	-706.29126	-17.969238	19.653791	12.146027	-70.98186	53.036423	42.725	231999	6.6507845	11.816419	46.988808	-879.7834	-8.191248	21.244745	1222.5731637477875
59	-27.571972	22.503828	24.96152	-93.03172	-34.525475	22.571064	8.191132	-101.60402	50.651897	41.425	235999	7.349046	12.062445	49.176044	-721.80334	-8.918536	20.902893	1244.0598821640015
60	-34.778088	42.351944	19.384422	-568.70795	-38.190086	20.664743	5.753941	-76.92669	51.357826	48.575	239999	7.5518265	12.266501	47.13718	-843.80347	-9.096212	21.577024	1265.3302218914032
