Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-32.196968	7.8947988	-12.019567	-67.43431	1.4648626	16.445942	42.76972	-26.968307	19.61425	27.95	3999	-1.6486909	1.811224	6.4068913	-14.734506	-0.16438714	0.9678931	16.084208726882935
2	-32.675617	7.786633	-12.945933	-69.85913	-10.85647	19.402454	24.198067	-42.918888	19.566708	24.8	7999	5.6430964	6.913815	42.575554	-15.969923	-8.570549	1.6848426	36.644713163375854
3	-23.8866	18.967325	48.122925	-70.863716	-2.5718224	20.60776	36.152115	-47.747665	25.90909	35.975	11999	20.74992	17.641035	94.24467	-19.612198	-24.9713	4.2669344	58.280314922332764
4	-8.029933	24.298906	54.60436	-78.906906	-9.522641	27.651394	44.484673	-62.89868	38.673912	37.975	15999	24.02837	20.97877	97.24717	-25.252584	-27.32644	7.1931844	79.17786169052124
5	-16.558311	32.884743	51.753925	-485.27295	-18.420727	23.343407	31.500626	-73.71898	38.18182	50.275	19999	22.317352	19.295704	87.98446	-22.516695	-25.271332	8.234934	100.56562781333923
6	-23.992287	47.87595	49.060764	-630.4155	-23.512045	20.328619	12.176711	-68.66348	42.764706	42.325	23999	23.240585	19.216948	78.92024	-20.857046	-26.03529	14.590379	121.8448224067688
7	-28.325457	27.604511	38.45633	-120.77511	-21.693016	25.467228	41.29492	-67.81955	42.384617	39.775	27999	26.31643	21.69879	94.63622	-21.758604	-29.170715	20.027851	142.9144480228424
8	-29.076628	26.819973	61.40564	-94.09043	-32.98421	26.852201	38.5147	-73.3778	43.101875	50.325	31999	30.398005	25.286655	107.081665	-60.33251	-33.46858	22.13841	166.67134714126587
9	-35.280094	25.796762	34.453125	-108.02024	-33.16027	24.221317	9.729914	-75.8001	43.79726	44.925	35999	33.54835	28.087456	114.4405	-75.20876	-36.642735	22.485216	192.86766982078552
10	-43.538082	39.49476	24.586458	-500.50076	-45.030067	26.976276	17.30328	-93.26206	44.416668	56.825	39999	35.909992	29.514332	118.20079	-123.06132	-38.997723	26.575377	217.63013195991516
11	-40.31184	26.201221	16.489904	-139.34387	-37.22327	22.99008	3.4178553	-87.996216	44.994366	40.95	43999	35.72937	30.266813	114.063705	-109.155716	-38.698784	27.426828	242.20156049728394
12	-53.769665	43.380352	26.328531	-522.0176	-63.542828	26.169811	-21.487095	-145.51172	44.049587	48.925	47999	34.663803	30.877024	122.21489	-195.74391	-37.639286	29.770317	266.7673194408417
13	-56.727528	35.158497	0.4740778	-426.02466	-54.84797	24.521498	-3.1415966	-111.725655	48.990852	52.15	51999	33.88877	30.783545	133.585	-210.96985	-36.60211	28.861933	290.7398316860199
14	-58.197746	39.975918	290.384	-461.0266	-64.49371	35.095596	-1.4200659	-166.86327	47.8503	56.3	55999	30.94963	30.744516	137.45786	-260.1047	-33.48593	28.182755	315.30143904685974
15	-54.604137	46.830055	-2.3525674	-548.03284	-64.095634	28.833597	-18.11015	-157.71312	45.10141	41.6	59999	28.789423	30.491293	136.95834	-244.37286	-31.210764	29.115276	340.07842111587524
16	-56.321857	38.102913	9.134299	-392.74585	-62.72416	126.068954	-7.4547267	-842.10535	45.525715	47.225	63999	26.322226	29.33143	127.70527	-268.51505	-28.565054	31.856077	363.2642066478729
17	-57.08817	56.242752	422.55685	-837.3954	-64.2723	33.12126	-1.7960553	-205.59406	45.534092	44.5	67999	24.110752	28.027163	121.14598	-198.51355	-26.221933	31.074913	386.18087553977966
18	-60.750275	44.00525	14.875474	-646.52136	-64.63159	29.721582	-17.92625	-130.98029	44.82073	49.525	71999	21.305428	26.165054	115.943596	-320.47665	-23.270922	28.489092	409.1227889060974
19	-63.40972	34.780293	7.0069885	-444.69098	-64.395096	24.962126	-23.09511	-137.80656	44.604458	47.25	75999	18.258253	23.839735	113.45287	-431.8656	-20.084803	30.279457	432.25196385383606
